source_model,target_model,sample_id,source_layer,target_layer,source_layer_name,target_layer_name,cka,transferable,n_samples
Standard,Wong2020Fast,-1,5,4,block3.layer.1.conv1,layer3.0.shortcut.0,0.8398972749710083,1,8
Standard,Wong2020Fast,-1,5,5,block3.layer.1.conv1,layer4.0.conv2,0.8691621422767639,1,8
Standard,Wong2020Fast,-1,5,6,block3.layer.1.conv1,linear,0.5773108005523682,1,8
Standard,Wong2020Fast,-1,6,1,fc,conv1,0.7505632042884827,1,8
Standard,Wong2020Fast,-1,6,2,fc,layer1.1.conv2,0.7475314736366272,1,8
Standard,Wong2020Fast,-1,6,3,fc,layer2.1.conv1,0.8046529293060303,1,8
Standard,Wong2020Fast,-1,6,4,fc,layer3.0.shortcut.0,0.7310020327568054,1,8
Standard,Wong2020Fast,-1,6,5,fc,layer4.0.conv2,0.7409119606018066,1,8
Standard,Wong2020Fast,-1,6,6,fc,linear,0.594774067401886,1,8
Standard,Wong2020Fast,-1,1,1,conv1,conv1,0.9796558618545532,0,51
Standard,Wong2020Fast,-1,1,2,conv1,layer1.1.conv2,0.9696643352508545,0,51
Standard,Wong2020Fast,-1,1,3,conv1,layer2.1.conv1,0.7646886706352234,0,51
Standard,Wong2020Fast,-1,1,4,conv1,layer3.0.shortcut.0,0.8828285336494446,0,51
Standard,Wong2020Fast,-1,1,5,conv1,layer4.0.conv2,0.6797647476196289,0,51
Standard,Wong2020Fast,-1,1,6,conv1,linear,0.5150548815727234,0,51
Standard,Wong2020Fast,-1,2,1,block1.layer.2.conv1,conv1,0.5864071846008301,0,51
Standard,Wong2020Fast,-1,2,2,block1.layer.2.conv1,layer1.1.conv2,0.6304576396942139,0,51
Standard,Wong2020Fast,-1,2,3,block1.layer.2.conv1,layer2.1.conv1,0.8586503267288208,0,51
Standard,Wong2020Fast,-1,2,4,block1.layer.2.conv1,layer3.0.shortcut.0,0.4712893068790436,0,51
Standard,Wong2020Fast,-1,2,5,block1.layer.2.conv1,layer4.0.conv2,0.43048548698425293,0,51
Standard,Wong2020Fast,-1,2,6,block1.layer.2.conv1,linear,0.25846046209335327,0,51
Standard,Wong2020Fast,-1,3,1,block2.layer.0.conv2,conv1,0.6445496082305908,0,51
Standard,Wong2020Fast,-1,3,2,block2.layer.0.conv2,layer1.1.conv2,0.6888284683227539,0,51
Standard,Wong2020Fast,-1,3,3,block2.layer.0.conv2,layer2.1.conv1,0.8888253569602966,0,51
Standard,Wong2020Fast,-1,3,4,block2.layer.0.conv2,layer3.0.shortcut.0,0.5702374577522278,0,51
Standard,Wong2020Fast,-1,3,5,block2.layer.0.conv2,layer4.0.conv2,0.5266053080558777,0,51
Standard,Wong2020Fast,-1,3,6,block2.layer.0.conv2,linear,0.3445582389831543,0,51
Standard,Wong2020Fast,-1,4,1,block2.layer.3.conv1,conv1,0.5999191403388977,0,51
Standard,Wong2020Fast,-1,4,2,block2.layer.3.conv1,layer1.1.conv2,0.646122932434082,0,51
Standard,Wong2020Fast,-1,4,3,block2.layer.3.conv1,layer2.1.conv1,0.8699211478233337,0,51
Standard,Wong2020Fast,-1,4,4,block2.layer.3.conv1,layer3.0.shortcut.0,0.5101906061172485,0,51
Standard,Wong2020Fast,-1,4,5,block2.layer.3.conv1,layer4.0.conv2,0.46649566292762756,0,51
Standard,Wong2020Fast,-1,4,6,block2.layer.3.conv1,linear,0.2888883650302887,0,51
Standard,Wong2020Fast,-1,5,1,block3.layer.1.conv1,conv1,0.5504506826400757,0,51
Standard,Wong2020Fast,-1,5,2,block3.layer.1.conv1,layer1.1.conv2,0.5873161554336548,0,51
Standard,Wong2020Fast,-1,5,3,block3.layer.1.conv1,layer2.1.conv1,0.7693020701408386,0,51
Standard,Wong2020Fast,-1,5,4,block3.layer.1.conv1,layer3.0.shortcut.0,0.48453113436698914,0,51
Standard,Wong2020Fast,-1,5,5,block3.layer.1.conv1,layer4.0.conv2,0.468780517578125,0,51
Standard,Wong2020Fast,-1,5,6,block3.layer.1.conv1,linear,0.31125175952911377,0,51
Standard,Wong2020Fast,-1,6,1,fc,conv1,0.2595266103744507,0,51
Standard,Wong2020Fast,-1,6,2,fc,layer1.1.conv2,0.2631692886352539,0,51
Standard,Wong2020Fast,-1,6,3,fc,layer2.1.conv1,0.3039485514163971,0,51
Standard,Wong2020Fast,-1,6,4,fc,layer3.0.shortcut.0,0.24388045072555542,0,51
Standard,Wong2020Fast,-1,6,5,fc,layer4.0.conv2,0.25569772720336914,0,51
Standard,Wong2020Fast,-1,6,6,fc,linear,0.19125047326087952,0,51
Standard,Rice2020Overfitting,-1,1,1,conv1,conv1,0.9725214838981628,1,7
Standard,Rice2020Overfitting,-1,1,2,conv1,block1.layer.2.conv2,0.9667297005653381,1,7
Standard,Rice2020Overfitting,-1,1,3,conv1,block2.layer.0.convShortcut,0.9846450090408325,1,7
