source_model,target_model,source_layer,best_target_layer,source_layer_name,best_target_layer_name,best_cka,layer_shift,abs_layer_shift,source_training_type,target_training_type,pair_type
Wong2020Fast,Engstrom2019Robustness,6,6,linear,linear,0.935470163822174,0,0,fast_adversarial_training,adversarial_training,robust_robust
Wong2020Fast,Rice2020Overfitting,1,1,conv1,conv1,0.9769665002822876,0,0,fast_adversarial_training,adversarial_training_robust_overfitting,robust_robust
Wong2020Fast,Rice2020Overfitting,2,1,layer1.1.conv2,conv1,0.9697285890579224,-1,1,fast_adversarial_training,adversarial_training_robust_overfitting,robust_robust
Wong2020Fast,Rice2020Overfitting,3,2,layer2.1.conv1,block1.layer.2.conv2,0.9257814288139344,-1,1,fast_adversarial_training,adversarial_training_robust_overfitting,robust_robust
Wong2020Fast,Rice2020Overfitting,4,3,layer3.0.shortcut.0,block2.layer.0.convShortcut,0.9433782696723938,-1,1,fast_adversarial_training,adversarial_training_robust_overfitting,robust_robust
Wong2020Fast,Rice2020Overfitting,5,6,layer4.0.conv2,fc,0.8473860025405884,1,1,fast_adversarial_training,adversarial_training_robust_overfitting,robust_robust
Wong2020Fast,Rice2020Overfitting,6,6,linear,fc,0.9414626359939576,0,0,fast_adversarial_training,adversarial_training_robust_overfitting,robust_robust
Wong2020Fast,Standard,1,1,conv1,conv1,0.9782893061637878,0,0,fast_adversarial_training,standard,standard_robust
Wong2020Fast,Standard,2,1,layer1.1.conv2,conv1,0.9690579771995544,-1,1,fast_adversarial_training,standard,standard_robust
Wong2020Fast,Standard,3,3,layer2.1.conv1,block2.layer.0.conv2,0.8833011388778687,0,0,fast_adversarial_training,standard,standard_robust
Wong2020Fast,Standard,4,1,layer3.0.shortcut.0,conv1,0.8741029500961304,-3,3,fast_adversarial_training,standard,standard_robust
Wong2020Fast,Standard,5,1,layer4.0.conv2,conv1,0.6459846496582031,-4,4,fast_adversarial_training,standard,standard_robust
Wong2020Fast,Standard,6,6,linear,fc,0.6161254644393921,0,0,fast_adversarial_training,standard,standard_robust
