source_model,target_model,source_layer,target_layer,source_layer_name,target_layer_name,cka,pair_mode,n_examples
Engstrom2019Robustness,Wong2020Fast,4,6,layer3.2.conv2,linear,0.37066367268562317,unique,64
Engstrom2019Robustness,Wong2020Fast,5,1,layer3.5.conv3,conv1,0.4707975387573242,unique,64
Engstrom2019Robustness,Wong2020Fast,5,2,layer3.5.conv3,layer1.1.conv2,0.5089529752731323,unique,64
Engstrom2019Robustness,Wong2020Fast,5,3,layer3.5.conv3,layer2.1.conv1,0.7183225750923157,unique,64
Engstrom2019Robustness,Wong2020Fast,5,4,layer3.5.conv3,layer3.0.shortcut.0,0.4434460401535034,unique,64
Engstrom2019Robustness,Wong2020Fast,5,5,layer3.5.conv3,layer4.0.conv2,0.579592764377594,unique,64
Engstrom2019Robustness,Wong2020Fast,5,6,layer3.5.conv3,linear,0.43131953477859497,unique,64
Engstrom2019Robustness,Wong2020Fast,6,1,linear,conv1,0.5041680932044983,unique,64
Engstrom2019Robustness,Wong2020Fast,6,2,linear,layer1.1.conv2,0.5013799071311951,unique,64
Engstrom2019Robustness,Wong2020Fast,6,3,linear,layer2.1.conv1,0.38288015127182007,unique,64
Engstrom2019Robustness,Wong2020Fast,6,4,linear,layer3.0.shortcut.0,0.6779329180717468,unique,64
Engstrom2019Robustness,Wong2020Fast,6,5,linear,layer4.0.conv2,0.8566036224365234,unique,64
Engstrom2019Robustness,Wong2020Fast,6,6,linear,linear,0.9354701638221741,unique,64
Engstrom2019Robustness,Rice2020Overfitting,1,1,conv1,conv1,0.9922311902046204,unique,64
Engstrom2019Robustness,Rice2020Overfitting,1,2,conv1,block1.layer.2.conv2,0.7637867331504822,unique,64
Engstrom2019Robustness,Rice2020Overfitting,1,3,conv1,block2.layer.0.convShortcut,0.89637291431427,unique,64
Engstrom2019Robustness,Rice2020Overfitting,1,4,conv1,block2.layer.3.conv2,0.37471553683280945,unique,64
Engstrom2019Robustness,Rice2020Overfitting,1,5,conv1,block3.layer.1.conv2,0.4306465983390808,unique,64
Engstrom2019Robustness,Rice2020Overfitting,1,6,conv1,fc,0.4317019581794739,unique,64
Engstrom2019Robustness,Rice2020Overfitting,2,1,layer2.0.conv1,conv1,0.7428106069564819,unique,64
Engstrom2019Robustness,Rice2020Overfitting,2,2,layer2.0.conv1,block1.layer.2.conv2,0.9564563035964966,unique,64
Engstrom2019Robustness,Rice2020Overfitting,2,3,layer2.0.conv1,block2.layer.0.convShortcut,0.8591709733009338,unique,64
Engstrom2019Robustness,Rice2020Overfitting,2,4,layer2.0.conv1,block2.layer.3.conv2,0.7231737971305847,unique,64
Engstrom2019Robustness,Rice2020Overfitting,2,5,layer2.0.conv1,block3.layer.1.conv2,0.7090227603912354,unique,64
Engstrom2019Robustness,Rice2020Overfitting,2,6,layer2.0.conv1,fc,0.40092989802360535,unique,64
Engstrom2019Robustness,Rice2020Overfitting,3,1,layer2.3.conv1,conv1,0.6940180659294128,unique,64
Engstrom2019Robustness,Rice2020Overfitting,3,2,layer2.3.conv1,block1.layer.2.conv2,0.93461012840271,unique,64
Engstrom2019Robustness,Rice2020Overfitting,3,3,layer2.3.conv1,block2.layer.0.convShortcut,0.8309597373008728,unique,64
Engstrom2019Robustness,Rice2020Overfitting,3,4,layer2.3.conv1,block2.layer.3.conv2,0.7705424427986145,unique,64
Engstrom2019Robustness,Rice2020Overfitting,3,5,layer2.3.conv1,block3.layer.1.conv2,0.7399623394012451,unique,64
Engstrom2019Robustness,Rice2020Overfitting,3,6,layer2.3.conv1,fc,0.3856000304222107,unique,64
Engstrom2019Robustness,Rice2020Overfitting,4,1,layer3.2.conv2,conv1,0.5925688147544861,unique,64
Engstrom2019Robustness,Rice2020Overfitting,4,2,layer3.2.conv2,block1.layer.2.conv2,0.8309106826782227,unique,64
Engstrom2019Robustness,Rice2020Overfitting,4,3,layer3.2.conv2,block2.layer.0.convShortcut,0.7426168322563171,unique,64
Engstrom2019Robustness,Rice2020Overfitting,4,4,layer3.2.conv2,block2.layer.3.conv2,0.7566428184509277,unique,64
Engstrom2019Robustness,Rice2020Overfitting,4,5,layer3.2.conv2,block3.layer.1.conv2,0.7786217927932739,unique,64
Engstrom2019Robustness,Rice2020Overfitting,4,6,layer3.2.conv2,fc,0.3742586076259613,unique,64
Engstrom2019Robustness,Rice2020Overfitting,5,1,layer3.5.conv3,conv1,0.39269423484802246,unique,64
Engstrom2019Robustness,Rice2020Overfitting,5,2,layer3.5.conv3,block1.layer.2.conv2,0.6750766038894653,unique,64
Engstrom2019Robustness,Rice2020Overfitting,5,3,layer3.5.conv3,block2.layer.0.convShortcut,0.5477631092071533,unique,64
Engstrom2019Robustness,Rice2020Overfitting,5,4,layer3.5.conv3,block2.layer.3.conv2,0.7089622616767883,unique,64
Engstrom2019Robustness,Rice2020Overfitting,5,5,layer3.5.conv3,block3.layer.1.conv2,0.7114033102989197,unique,64
Engstrom2019Robustness,Rice2020Overfitting,5,6,layer3.5.conv3,fc,0.4039461612701416,unique,64
Engstrom2019Robustness,Rice2020Overfitting,6,1,linear,conv1,0.48226314783096313,unique,64
Engstrom2019Robustness,Rice2020Overfitting,6,2,linear,block1.layer.2.conv2,0.5139755606651306,unique,64
Engstrom2019Robustness,Rice2020Overfitting,6,3,linear,block2.layer.0.convShortcut,0.6005712747573853,unique,64
Engstrom2019Robustness,Rice2020Overfitting,6,4,linear,block2.layer.3.conv2,0.34505346417427063,unique,64
Engstrom2019Robustness,Rice2020Overfitting,6,5,linear,block3.layer.1.conv2,0.39251571893692017,unique,64
Engstrom2019Robustness,Rice2020Overfitting,6,6,linear,fc,0.9527164101600647,unique,64
Wong2020Fast,Rice2020Overfitting,1,1,conv1,conv1,0.9769665002822876,unique,64
Wong2020Fast,Rice2020Overfitting,1,2,conv1,block1.layer.2.conv2,0.8762632012367249,unique,64
Wong2020Fast,Rice2020Overfitting,1,3,conv1,block2.layer.0.convShortcut,0.9484375715255737,unique,64
Wong2020Fast,Rice2020Overfitting,1,4,conv1,block2.layer.3.conv2,0.49260732531547546,unique,64
Wong2020Fast,Rice2020Overfitting,1,5,conv1,block3.layer.1.conv2,0.5290935635566711,unique,64
Wong2020Fast,Rice2020Overfitting,1,6,conv1,fc,0.4812389016151428,unique,64
Wong2020Fast,Rice2020Overfitting,2,1,layer1.1.conv2,conv1,0.9697285890579224,unique,64
Wong2020Fast,Rice2020Overfitting,2,2,layer1.1.conv2,block1.layer.2.conv2,0.9076586365699768,unique,64
Wong2020Fast,Rice2020Overfitting,2,3,layer1.1.conv2,block2.layer.0.convShortcut,0.9636324644088745,unique,64
Wong2020Fast,Rice2020Overfitting,2,4,layer1.1.conv2,block2.layer.3.conv2,0.5414348244667053,unique,64
Wong2020Fast,Rice2020Overfitting,2,5,layer1.1.conv2,block3.layer.1.conv2,0.5706722736358643,unique,64
Wong2020Fast,Rice2020Overfitting,2,6,layer1.1.conv2,fc,0.48329681158065796,unique,64
Wong2020Fast,Rice2020Overfitting,3,1,layer2.1.conv1,conv1,0.6393721103668213,unique,64
Wong2020Fast,Rice2020Overfitting,3,2,layer2.1.conv1,block1.layer.2.conv2,0.9257814288139343,unique,64
Wong2020Fast,Rice2020Overfitting,3,3,layer2.1.conv1,block2.layer.0.convShortcut,0.7976677417755127,unique,64
Wong2020Fast,Rice2020Overfitting,3,4,layer2.1.conv1,block2.layer.3.conv2,0.8109545111656189,unique,64
Wong2020Fast,Rice2020Overfitting,3,5,layer2.1.conv1,block3.layer.1.conv2,0.7439061403274536,unique,64
Wong2020Fast,Rice2020Overfitting,3,6,layer2.1.conv1,fc,0.3768327534198761,unique,64
Wong2020Fast,Rice2020Overfitting,4,1,layer3.0.shortcut.0,conv1,0.8714817762374878,unique,64
Wong2020Fast,Rice2020Overfitting,4,2,layer3.0.shortcut.0,block1.layer.2.conv2,0.8144516944885254,unique,64
Wong2020Fast,Rice2020Overfitting,4,3,layer3.0.shortcut.0,block2.layer.0.convShortcut,0.9433782696723938,unique,64
Wong2020Fast,Rice2020Overfitting,4,4,layer3.0.shortcut.0,block2.layer.3.conv2,0.49047669768333435,unique,64
Wong2020Fast,Rice2020Overfitting,4,5,layer3.0.shortcut.0,block3.layer.1.conv2,0.5193934440612793,unique,64
Wong2020Fast,Rice2020Overfitting,4,6,layer3.0.shortcut.0,fc,0.6682146787643433,unique,64
Wong2020Fast,Rice2020Overfitting,5,1,layer4.0.conv2,conv1,0.6008232831954956,unique,64
Wong2020Fast,Rice2020Overfitting,5,2,layer4.0.conv2,block1.layer.2.conv2,0.6775971055030823,unique,64
Wong2020Fast,Rice2020Overfitting,5,3,layer4.0.conv2,block2.layer.0.convShortcut,0.7578078508377075,unique,64
Wong2020Fast,Rice2020Overfitting,5,4,layer4.0.conv2,block2.layer.3.conv2,0.5194502472877502,unique,64
Wong2020Fast,Rice2020Overfitting,5,5,layer4.0.conv2,block3.layer.1.conv2,0.5766571760177612,unique,64
Wong2020Fast,Rice2020Overfitting,5,6,layer4.0.conv2,fc,0.8473860025405884,unique,64
Wong2020Fast,Rice2020Overfitting,6,1,linear,conv1,0.4423145055770874,unique,64
Wong2020Fast,Rice2020Overfitting,6,2,linear,block1.layer.2.conv2,0.4794270992279053,unique,64
Wong2020Fast,Rice2020Overfitting,6,3,linear,block2.layer.0.convShortcut,0.5665671825408936,unique,64
Wong2020Fast,Rice2020Overfitting,6,4,linear,block2.layer.3.conv2,0.31365540623664856,unique,64
Wong2020Fast,Rice2020Overfitting,6,5,linear,block3.layer.1.conv2,0.38029035925865173,unique,64
Wong2020Fast,Rice2020Overfitting,6,6,linear,fc,0.9414626359939575,unique,64
